Treatments,No.of-earthworms,Earthworm-weight(g),No.of-adult,Date,Group,Adults,Mortality,,,,,,,,,,,,
T2-Millet15,7,10.2,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,8.2,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,8.7,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,6.8,0,A,2,0,0,,,,,,,,,,,,
T3-Millet25,6,10.5,0,A,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,6,10,0,A,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,4,6.7,0,A,3,0,0.428571429,,,,,,,,,,,,
T3-Millet25,7,14.9,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,8,11.3,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,3,2.3,0,A,3,0,0.571428571,,,,,,,,,,,,
T3-Millet25,7,7.7,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,4,5.4,0,A,3,0,0.428571429,,,,,,,,,,,,
T3-Millet25,6,9.6,0,A,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,6,12.2,0,A,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,8,9.3,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,8,8.9,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,6,11.3,0,A,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,7,12.5,0,A,3,0,0,,,,,,,,,,,,
T3-Millet25,8,15.4,0,A,3,0,0,,,,,,,,,,,,
T4-Alfalfa50,4,7.2,0,A,1,0,0.428571429,,,,,,,,,,,,
T4-Alfalfa50,7,12.3,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,8,21.2,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,6,20.3,4,A,1,57.14285714,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,7,24.7,2,A,1,28.57142857,0,,,,,,,,,,,,
T4-Alfalfa50,5,13.7,2,A,1,28.57142857,0.285714286,,,,,,,,,,,,
T4-Alfalfa50,7,17.7,4,A,1,57.14285714,0,,,,,,,,,,,,
T4-Alfalfa50,6,20.3,6,A,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,7,17.5,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,7,19,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,8,19.8,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,7,17.6,3,A,1,42.85714286,0,,,,,,,,,,,,
T4-Alfalfa50,6,12.7,1,A,1,14.28571429,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,8,23.9,0,A,1,0,0,,,,,,,,,,,,
T4-Alfalfa50,7,11,0,A,1,0,0,,,,,,,,,,,,
C1,5,4.19,0,B,1,0,0.285714286,,,,,,,,,,,,
C1,5,5.31,0,B,1,0,0.285714286,,,,,,,,,,,,
C1,6,6.16,0,B,1,0,0.142857143,,,,,,,,,,,,
C1,6,5.17,0,B,1,0,0.142857143,,,,,,,,,,,,
C1,7,7.21,0,B,1,0,0,,,,,,,,,,,,
C1,7,7.04,0,B,1,0,0,,,,,,,,,,,,
C1,1,1.3,0,B,1,0,0.857142857,,,,,,,,,,,,
C1,6,5.79,0,B,1,0,0.142857143,,,,,,,,,,,,
C1,7,6.47,0,B,1,0,0,,,,,,,,,,,,
C1,5,7.25,0,B,1,0,0.285714286,,,,,,,,,,,,
C1,6,6.01,0,B,1,0,0.142857143,,,,,,,,,,,,
C1,7,6.2,0,B,1,0,0,,,,,,,,,,,,
C1,6,6.4,0,B,1,0,0.142857143,,,,,,,,,,,,
C1,5,5.4,0,B,1,0,0.285714286,,,,,,,,,,,,
C1,6,5.11,0,B,1,0,0.142857143,,,,,,,,,,,,
C2-Millet15,5,11.2,0,B,2,0,0.285714286,,,,,,,,,,,,
C2-Millet15,6,20.78,0,B,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,6,14.72,5,B,2,71.42857143,0.142857143,,,,,,,,,,,,
C2-Millet15,6,14.78,3,B,2,42.85714286,0.142857143,,,,,,,,,,,,
C2-Millet15,7,15.45,1,B,2,14.28571429,0,,,,,,,,,,,,
C2-Millet15,8,17.02,0,B,2,0,0,,,,,,,,,,,,
C2-Millet15,6,21.93,0,B,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,7,22.71,2,B,2,28.57142857,0,,,,,,,,,,,,
C2-Millet15,7,14.95,0,B,2,0,0,,,,,,,,,,,,
C2-Millet15,8,9.81,0,B,2,0,0,,,,,,,,,,,,
C2-Millet15,6,14.32,0,B,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,8,15.35,0,B,2,0,0,,,,,,,,,,,,
C2-Millet15,7,12.85,3,B,2,42.85714286,0,,,,,,,,,,,,
C2-Millet15,2,8.2,2,B,2,28.57142857,0.714285714,,,,,,,,,,,,
C2-Millet15,7,20.1,0,B,2,0,0,,,,,,,,,,,,
C3-Millet25,3,16.89,0,B,3,0,0.571428571,,,,,,,,,,,,
C3-Millet25,5,17.05,1,B,3,14.28571429,0.285714286,,,,,,,,,,,,
C3-Millet25,7,18.78,2,B,3,28.57142857,0,,,,,,,,,,,,
C3-Millet25,6,18.14,2,B,3,28.57142857,0.142857143,,,,,,,,,,,,
C3-Millet25,7,17.48,4,B,3,57.14285714,0,,,,,,,,,,,,
C3-Millet25,6,17.15,5,B,3,71.42857143,0.142857143,,,,,,,,,,,,
C3-Millet25,8,18.06,5,B,3,71.42857143,0,,,,,,,,,,,,
C3-Millet25,5,12.026,0,B,3,0,0.285714286,,,,,,,,,,,,
C3-Millet25,6,15.63,0,B,3,0,0.142857143,,,,,,,,,,,,
C3-Millet25,7,20.64,1,B,3,14.28571429,0,,,,,,,,,,,,
C3-Millet25,7,16.69,3,B,3,42.85714286,0,,,,,,,,,,,,
C3-Millet25,7,25.16,4,B,3,57.14285714,0,,,,,,,,,,,,
C3-Millet25,8,17.6,7,B,3,100,0,,,,,,,,,,,,
C3-Millet25,8,18.21,5,B,3,71.42857143,0,,,,,,,,,,,,
C3-Millet25,5,14.68,3,B,3,42.85714286,0.285714286,,,,,,,,,,,,
T1-B.b,7,5.37,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,7,6.85,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,7,5.47,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,8,5.51,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,7,4.86,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,6,3.8,0,B,1,0,0.142857143,,,,,,,,,,,,
T1-B.b,6,3.95,0,B,1,0,0.142857143,,,,,,,,,,,,
T1-B.b,4,5.23,0,B,1,0,0.428571429,,,,,,,,,,,,
T1-B.b,5,4.72,0,B,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,6,5.72,0,B,1,0,0.142857143,,,,,,,,,,,,
T1-B.b,7,5.44,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,8,6.26,0,B,1,0,0,,,,,,,,,,,,
T1-B.b,5,3.86,0,B,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,5,4.7,0,B,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,7,5.92,0,B,1,0,0,,,,,,,,,,,,
T2-Millet15,7,10.45,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,7,10.56,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,7,11.4,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,1,2.88,0,B,2,0,0.857142857,,,,,,,,,,,,
T2-Millet15,8,10.2,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,6,10.72,0,B,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,6,7.97,0,B,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,7,11.36,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,7,8.14,1,B,2,14.28571429,0,,,,,,,,,,,,
T2-Millet15,8,9.74,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,6,7.26,0,B,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,6,10.72,1,B,2,14.28571429,0.142857143,,,,,,,,,,,,
T2-Millet15,7,11,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,7,10.89,0,B,2,0,0,,,,,,,,,,,,
T2-Millet15,6,8.98,0,B,2,0,0.142857143,,,,,,,,,,,,
T3-Millet25,6,14.48,3,B,3,42.85714286,0.142857143,,,,,,,,,,,,
T3-Millet25,6,14.25,0,B,3,0,0.142857143,,,,,,,,,,,,
T3-Millet25,4,9.61,0,B,3,0,0.428571429,,,,,,,,,,,,
T3-Millet25,7,17.89,0,B,3,0,0,,,,,,,,,,,,
T3-Millet25,8,14.74,0,B,3,0,0,,,,,,,,,,,,
T3-Millet25,3,4.84,0,B,3,0,0.571428571,,,,,,,,,,,,
T3-Millet25,7,11.82,0,B,3,0,0,,,,,,,,,,,,
T3-Millet25,4,8,0,B,3,0,0.428571429,,,,,,,,,,,,
T3-Millet25,5,12.12,3,B,3,42.85714286,0.285714286,,,,,,,,,,,,
T3-Millet25,6,15.71,4,B,3,57.14285714,0.142857143,,,,,,,,,,,,
T3-Millet25,8,12.76,0,B,3,0,0,,,,,,,,,,,,
T3-Millet25,8,13.82,0,B,3,0,0,,,,,,,,,,,,
T3-Millet25,6,14.12,1,B,3,14.28571429,0.142857143,,,,,,,,,,,,
T3-Millet25,7,14.98,3,B,3,42.85714286,0,,,,,,,,,,,,
T3-Millet25,8,27.83,2,B,3,28.57142857,0,,,,,,,,,,,,
T4-Alfalfa50,4,7.38,2,B,1,28.57142857,0.428571429,,,,,,,,,,,,
T4-Alfalfa50,7,15.14,5,B,1,71.42857143,0,,,,,,,,,,,,
T4-Alfalfa50,8,20.82,6,B,1,85.71428571,0,,,,,,,,,,,,
T4-Alfalfa50,7,23.7,7,B,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,7,26.27,7,B,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,5,14.28,5,B,1,71.42857143,0.285714286,,,,,,,,,,,,
T4-Alfalfa50,7,21.81,7,B,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,6,24.36,6,B,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,6,15.71,4,B,1,57.14285714,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,7,17.77,3,B,1,42.85714286,0,,,,,,,,,,,,
T4-Alfalfa50,8,19.03,8,B,1,114.2857143,0,,,,,,,,,,,,
T4-Alfalfa50,7,21.71,7,B,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,6,16.87,6,B,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,8,28.9,8,B,1,114.2857143,0,,,,,,,,,,,,
T4-Alfalfa50,7,16.13,4,B,1,57.14285714,0,,,,,,,,,,,,
C1,5,4.17,0,C,1,0,0.285714286,,,,,,,,,,,,
C1,4,4.82,0,C,1,0,0.428571429,,,,,,,,,,,,
C1,7,5.95,0,C,1,0,0,,,,,,,,,,,,
C1,5,5.02,0,C,1,0,0.285714286,,,,,,,,,,,,
C1,7,6.81,0,C,1,0,0,,,,,,,,,,,,
C1,7,6.42,0,C,1,0,0,,,,,,,,,,,,
C1,6,5.99,0,C,1,0,0.142857143,,,,,,,,,,,,
C1,1,1.29,0,C,1,0,0.857142857,,,,,,,,,,,,
C1,7,5.85,0,C,1,0,0,,,,,,,,,,,,
C1,6,6.48,0,C,1,0,0.142857143,,,,,,,,,,,,
C1,6,5.5,0,C,1,0,0.142857143,,,,,,,,,,,,
C1,7,6.38,0,C,1,0,0,,,,,,,,,,,,
C1,5,5.43,0,C,1,0,0.285714286,,,,,,,,,,,,
C1,5,5.47,0,C,1,0,0.285714286,,,,,,,,,,,,
C1,6,5.07,0,C,1,0,0.142857143,,,,,,,,,,,,
C2-Millet15,5,11.89,2,C,2,28.57142857,0.285714286,,,,,,,,,,,,
C2-Millet15,6,17.34,0,C,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,6,13.15,5,C,2,71.42857143,0.142857143,,,,,,,,,,,,
C2-Millet15,6,12.34,4,C,2,57.14285714,0.142857143,,,,,,,,,,,,
C2-Millet15,7,12.4,6,C,2,85.71428571,0,,,,,,,,,,,,
C2-Millet15,8,13.44,2,C,2,28.57142857,0,,,,,,,,,,,,
C2-Millet15,6,18.94,4,C,2,57.14285714,0.142857143,,,,,,,,,,,,
C2-Millet15,6,15.86,4,C,2,57.14285714,0.142857143,,,,,,,,,,,,
C2-Millet15,6,12.4,0,C,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,4,4.32,0,C,2,0,0.428571429,,,,,,,,,,,,
C2-Millet15,6,12.16,3,C,2,42.85714286,0.142857143,,,,,,,,,,,,
C2-Millet15,7,10.34,1,C,2,14.28571429,0,,,,,,,,,,,,
C2-Millet15,7,11.69,6,C,2,85.71428571,0,,,,,,,,,,,,
C2-Millet15,2,9.13,2,C,2,28.57142857,0.714285714,,,,,,,,,,,,
C2-Millet15,7,16.86,2,C,2,28.57142857,0,,,,,,,,,,,,
C3-Millet25,5,10.55,2,C,3,28.57142857,0.285714286,,,,,,,,,,,,
C3-Millet25,3,8.4,3,C,3,42.85714286,0.571428571,,,,,,,,,,,,
C3-Millet25,6,15.07,4,C,3,57.14285714,0.142857143,,,,,,,,,,,,
C3-Millet25,5,12.94,4,C,3,57.14285714,0.285714286,,,,,,,,,,,,
C3-Millet25,6,13.65,6,C,3,85.71428571,0.142857143,,,,,,,,,,,,
C3-Millet25,6,13.4,6,C,3,85.71428571,0.142857143,,,,,,,,,,,,
C3-Millet25,8,13.96,6,C,3,85.71428571,0,,,,,,,,,,,,
C3-Millet25,5,11.85,4,C,3,57.14285714,0.285714286,,,,,,,,,,,,
C3-Millet25,6,15.19,4,C,3,57.14285714,0.142857143,,,,,,,,,,,,
C3-Millet25,7,17.5,6,C,3,85.71428571,0,,,,,,,,,,,,
C3-Millet25,7,14.09,5,C,3,71.42857143,0,,,,,,,,,,,,
C3-Millet25,7,20.15,7,C,3,100,0,,,,,,,,,,,,
C3-Millet25,8,14.02,8,C,3,114.2857143,0,,,,,,,,,,,,
C3-Millet25,8,14.77,7,C,3,100,0,,,,,,,,,,,,
C3-Millet25,5,9.75,4,C,3,57.14285714,0.285714286,,,,,,,,,,,,
T1-B.b,7,5.2,0,C,1,0,0,,,,,,,,,,,,
T1-B.b,6,5.7,0,C,1,0,0.142857143,,,,,,,,,,,,
T1-B.b,5,4.26,0,C,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,7,5.26,0,C,1,0,0,,,,,,,,,,,,
T1-B.b,5,4.52,0,C,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,5,3.25,0,C,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,4,2.62,0,C,1,0,0.428571429,,,,,,,,,,,,
T1-B.b,4,5.24,0,C,1,0,0.428571429,,,,,,,,,,,,
T1-B.b,4,4,0,C,1,0,0.428571429,,,,,,,,,,,,
T1-B.b,5,4.99,0,C,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,7,5.64,0,C,1,0,0,,,,,,,,,,,,
T1-B.b,8,6.31,0,C,1,0,0,,,,,,,,,,,,
T1-B.b,6,4.49,0,C,1,0,0.142857143,,,,,,,,,,,,
T1-B.b,5,4.73,0,C,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,6,5.22,0,C,1,0,0.142857143,,,,,,,,,,,,
T2-Millet15,7,9.46,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,7,10.55,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,7,9.92,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,1,3.5,0,C,2,0,0.857142857,,,,,,,,,,,,
T2-Millet15,7,8.3,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,6,12.61,1,C,2,14.28571429,0.142857143,,,,,,,,,,,,
T2-Millet15,4,5.5,0,C,2,0,0.428571429,,,,,,,,,,,,
T2-Millet15,6,9.63,0,C,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,8,9.24,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,8,8.92,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,6,7.92,0,C,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,6,12.7,2,C,2,28.57142857,0.142857143,,,,,,,,,,,,
T2-Millet15,7,9.28,0,C,2,0,0,,,,,,,,,,,,
T2-Millet15,7,9.53,1,C,2,14.28571429,0,,,,,,,,,,,,
T2-Millet15,5,8.14,0,C,2,0,0.285714286,,,,,,,,,,,,
T3-Millet25,6,14.99,4,C,3,57.14285714,0.142857143,,,,,,,,,,,,
T3-Millet25,6,15.44,4,C,3,57.14285714,0.142857143,,,,,,,,,,,,
T3-Millet25,4,13.15,4,C,3,57.14285714,0.428571429,,,,,,,,,,,,
T3-Millet25,7,16.51,6,C,3,85.71428571,0,,,,,,,,,,,,
T3-Millet25,7,13.97,2,C,3,28.57142857,0,,,,,,,,,,,,
T3-Millet25,3,6.3,1,C,3,14.28571429,0.571428571,,,,,,,,,,,,
T3-Millet25,7,14.46,0,C,3,0,0,,,,,,,,,,,,
T3-Millet25,4,10.19,2,C,3,28.57142857,0.428571429,,,,,,,,,,,,
T3-Millet25,5,13.36,5,C,3,71.42857143,0.285714286,,,,,,,,,,,,
T3-Millet25,6,15.23,5,C,3,71.42857143,0.142857143,,,,,,,,,,,,
T3-Millet25,7,13.9,4,C,3,57.14285714,0,,,,,,,,,,,,
T3-Millet25,7,14.66,0,C,3,0,0,,,,,,,,,,,,
T3-Millet25,6,14.01,6,C,3,85.71428571,0.142857143,,,,,,,,,,,,
T3-Millet25,7,13.18,7,C,3,100,0,,,,,,,,,,,,
T3-Millet25,8,12.1,3,C,3,42.85714286,0,,,,,,,,,,,,
T4-Alfalfa50,4,5.32,2,C,1,28.57142857,0.428571429,,,,,,,,,,,,
T4-Alfalfa50,7,16.56,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,7,16.34,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,6,21.36,6,C,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,7,23.38,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,5,14.84,5,C,1,71.42857143,0.285714286,,,,,,,,,,,,
T4-Alfalfa50,7,21.09,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,6,19.02,6,C,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,6,16.03,5,C,1,71.42857143,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,7,19.43,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,8,15.91,8,C,1,114.2857143,0,,,,,,,,,,,,
T4-Alfalfa50,7,20.13,7,C,1,100,0,,,,,,,,,,,,
T4-Alfalfa50,6,16.41,6,C,1,85.71428571,0.142857143,,,,,,,,,,,,
T4-Alfalfa50,8,21.79,8,C,1,114.2857143,0,,,,,,,,,,,,
T4-Alfalfa50,7,15.65,6,C,1,85.71428571,0,,,,,,,,,,,,
